Label	Weight	Text
l_Sajjita_Payroll	1	yes i want to see suggestions
l_Sajjita_Payroll	1	show gratuity for april of sajjita
l_Sajjita_Payroll	1	what is my pf amount for november
l_Sajjita_Payroll	1	file medical allowance under yukti with empid 202086
l_Sajjita_Payroll	1	i want to see payroll
l_Sajjita_Payroll	1	recharge
l_Sajjita_Payroll	1	what is my gratuity amount till march
l_Sajjita_Payroll	1	see payroll options
l_Sajjita_Payroll	1	i want to quit this convo
l_Sajjita_Payroll	1	exit
l_Sajjita_Payroll	1	my employee id is 202086 and i want to apply for reimbursement of travel for 20 dollars
l_Sajjita_Payroll	1	tell me my gratuity for emp id 202086 and name sajjita for march
l_Sajjita_Payroll	1	recharge my current balance
l_Sajjita_Payroll	1	file a request for medical allowance reimbursement
l_Sajjita_Payroll	1	tell gratuity amount of march for kashish
l_Sajjita_Payroll	1	i want to see my salaryslip
l_Sajjita_Payroll	1	show gratuity for sajjita
l_Sajjita_Payroll	1	show salary slip for january
l_Sajjita_Payroll	1	help
l_Sajjita_Payroll	1	no
l_Sajjita_Payroll	1	i want see my bonus for the month of december
l_Sajjita_Payroll	1	my name is sajjita and i want to apply for medical reimbursement of 40 dollars
l_Sajjita_Payroll	1	i want to view bonus for soha
l_Sajjita_Payroll	1	i want to view my gratuity for may
l_Sajjita_Payroll	1	i want to see bonus for kashish
l_Sajjita_Payroll	1	i want to see help options
l_Sajjita_Payroll	1	i want to see bonus for kash
l_Sajjita_Payroll	1	name-soha , empid- 303011 , show the salary slip for april
l_Sajjita_Payroll	1	i want to apply for reimbursement
l_Sajjita_Payroll	1	i wanna quit this conversation
l_Sajjita_Payroll	1	my name is sajjita. i want to view my bonus
l_Sajjita_Payroll	1	help options
l_Sajjita_Payroll	1	show payroll options
l_Sajjita_Payroll	1	i want to see my bonus for feb
l_Sajjita_Payroll	1	quit this convo
l_Sajjita_Payroll	1	show pf for sajjita
l_Sajjita_Payroll	1	i want to see my bonus
l_Sajjita_Payroll	1	payroll options
l_Sajjita_Payroll	1	i want to see my pf for feb
l_Sajjita_Payroll	1	no i dont need help
l_Sajjita_Payroll	1	payroll options please
l_Sajjita_Payroll	1	i want to apply for travel allowance of 300 rupees
